Origin,Destination,,,,,,,,,
Amritsar,Mumbai,,,,,,,,,
Amritsar,Mumbai,,,,,,,,,
Amritsar,Mumbai,,,,,,,,,
Amritsar,Mumbai,,,,,,,,,
Amritsar,Muscat,,,,,,,,,
Amritsar,Muscat,,,,,,,,,
Amritsar,Nagpur,,,,,,,,,
Amritsar,Nagpur,,,,,,,,,
Amritsar,Nagpur,,,,,,,,,
Amritsar,Nagpur,,,,,,,,,
Amritsar,Nagpur,,,,,,,,,
Amritsar,Nagpur,,,,,,,,,
Amritsar,Patna,,,,,,,,,
Amritsar,Patna,,,,,,,,,
Amritsar,Phuket,,,,,,,,,
Amritsar,Phuket,,,,,,,,,
Amritsar,Ranchi,,,,,,,,,
Amritsar,Ranchi,,,,,,,,,
Amritsar,Varanasi,,,,,,,,,
Amritsar,Varanasi,,,,,,,,,
Amritsar,Varanasi,,,,,,,,,
Bagdogra,Ahmedabad,,,,,,,,,
Bagdogra,Ahmedabad,,,,,,,,,
Bagdogra,Ahmedabad,,,,,,,,,
Bagdogra,Bengaluru,,,,,,,,,
Bagdogra,Delhi,,,,,,,,,
Bagdogra,Delhi,,,,,,,,,
Bagdogra,Delhi,,,,,,,,,
Bagdogra,Delhi,,,,,,,,,
Bagdogra,Goa,,,,,,,,,
Bagdogra,Goa,,,,,,,,,
Bagdogra,Guwahati,,,,,,,,,
Bagdogra,Hyderabad,,,,,,,,,
Bagdogra,Hyderabad,,,,,,,,,
Bagdogra,Jaipur,,,,,,,,,
Bagdogra,Kolkata,,,,,,,,,
Bagdogra,Lucknow,,,,,,,,,
Bagdogra,Lucknow,,,,,,,,,
Bagdogra,Mumbai,,,,,,,,,
Bagdogra,Mumbai,,,,,,,,,
Bagdogra,Mumbai,,,,,,,,,
Bagdogra,Mumbai,,,,,,,,,
Bagdogra,Mumbai,,,,,,,,,
Bagdogra,Mumbai,,,,,,,,,
Bagdogra,Mumbai,,,,,,,,,
Bagdogra,Mumbai,,,,,,,,,
Bagdogra,Nagpur,,,,,,,,,
Bagdogra,Nagpur,,,,,,,,,
Bagdogra,Patna,,,,,,,,,
Bagdogra,Patna,,,,,,,,,
Bagdogra,Phuket,,,,,,,,,
Bagdogra,Phuket,,,,,,,,,
Bagdogra,Pune,,,,,,,,,
Bagdogra,Pune,,,,,,,,,
Bagdogra,Pune,,,,,,,,,
Bangkok,Abu Dhabi,,,,,,,,,
Bangkok,Ahmedabad,,,,,,,,,
Bangkok,Ahmedabad,,,,,,,,,
Bangkok,Ahmedabad,,,,,,,,,
Bangkok,Ahmedabad,,,,,,,,,
Bangkok,Ahmedabad,,,,,,,,,
Bangkok,Amritsar,,,,,,,,,
Bangkok,Bagdogra,,,,,,,,,
Bangkok,Bengaluru,,,,,,,,,
Bangkok,Bengaluru,,,,,,,,,
Bangkok,Bengaluru,,,,,,,,,
Bangkok,Bengaluru,,,,,,,,,
Bangkok,Bengaluru,,,,,,,,,
Bangkok,Chennai,,,,,,,,,
Bangkok,Chennai,,,,,,,,,
Bangkok,Delhi,,,,,,,,,
Bangkok,Delhi,,,,,,,,,
Bangkok,Delhi,,,,,,,,,
Bangkok,Delhi,,,,,,,,,
Bangkok,Delhi,,,,,,,,,
Bangkok,Delhi,,,,,,,,,
Bangkok,Delhi,,,,,,,,,
Bangkok,Goa,,,,,,,,,
Bangkok,Goa,,,,,,,,,
Bangkok,Goa,,,,,,,,,
Bangkok,Hyderabad,,,,,,,,,
Bangkok,Jaipur,,,,,,,,,
Bangkok,Jaipur,,,,,,,,,
Bangkok,Kolkata,,,,,,,,,
Bangkok,Leh,,,,,,,,,
Bangkok,Leh,,,,,,,,,
Bangkok,Lucknow,,,,,,,,,
Bangkok,Lucknow,,,,,,,,,
Bangkok,Mumbai,,,,,,,,,
Bangkok,Mumbai,,,,,,,,,
Bangkok,Mumbai,,,,,,,,,
Bangkok,Mumbai,,,,,,,,,
Bangkok,Mumbai,,,,,,,,,
Bangkok,Muscat,,,,,,,,,
Bangkok,Nagpur,,,,,,,,,
Bangkok,Pune,,,,,,,,,
Bangkok,Srinagar,,,,,,,,,
Bangkok,Srinagar,,,,,,,,,
Bangkok,Srinagar,,,,,,,,,
Bengaluru,Abu Dhabi,,,,,,,,,
Bengaluru,Abu Dhabi,,,,,,,,,
Bengaluru,Abu Dhabi,,,,,,,,,
Bengaluru,Abu Dhabi,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Ahmedabad,,,,,,,,,
Bengaluru,Amritsar,,,,,,,,,
Bengaluru,Amritsar,,,,,,,,,
Bengaluru,Amritsar,,,,,,,,,
Bengaluru,Amritsar,,,,,,,,,
Bengaluru,Amritsar,,,,,,,,,
Bengaluru,Amritsar,,,,,,,,,
Bengaluru,Amritsar,,,,,,,,,
Bengaluru,Amritsar,,,,,,,,,
Bengaluru,Bagdogra,,,,,,,,,
Bengaluru,Bagdogra,,,,,,,,,
Bengaluru,Bangkok,,,,,,,,,
Bengaluru,Bangkok,,,,,,,,,
Bengaluru,Bangkok,,,,,,,,,
Bengaluru,Bangkok,,,,,,,,,
Bengaluru,Chandigarh,,,,,,,,,
Bengaluru,Chandigarh,,,,,,,,,
Bengaluru,Chandigarh,,,,,,,,,
Bengaluru,Chandigarh,,,,,,,,,
Bengaluru,Chandigarh,,,,,,,,,
Bengaluru,Chandigarh,,,,,,,,,
Bengaluru,Chandigarh,,,,,,,,,
Bengaluru,Chandigarh,,,,,,,,,
Bengaluru,Chennai,,,,,,,,,
Bengaluru,Chennai,,,,,,,,,
Bengaluru,Chennai,,,,,,,,,
Bengaluru,Chennai,,,,,,,,,
Bengaluru,Chennai,,,,,,,,,
Bengaluru,Dehra Dun,,,,,,,,,
Bengaluru,Dehra Dun,,,,,,,,,
Bengaluru,Dehra Dun,,,,,,,,,
Bengaluru,Dehra Dun,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Delhi,,,,,,,,,
Bengaluru,Goa,,,,,,,,,
Bengaluru,Goa-New Goa,,,,,,,,,
Bengaluru,Guwahati,,,,,,,,,
Bengaluru,Guwahati,,,,,,,,,
Bengaluru,Guwahati,,,,,,,,,
Bengaluru,Hyderabad,,,,,,,,,
Bengaluru,Jaipur,,,,,,,,,
Bengaluru,Jaipur,,,,,,,,,
Bengaluru,Jaipur,,,,,,,,,
Bengaluru,Jaipur,,,,,,,,,
Bengaluru,Jaipur,,,,,,,,,
Bengaluru,Jaipur,,,,,,,,,
Bengaluru,Jaipur,,,,,,,,,
Bengaluru,Jaipur,,,,,,,,,
Bengaluru,Jammu,,,,,,,,,
Bengaluru,Jammu,,,,,,,,,
Bengaluru,Kannur,,,,,,,,,
Bengaluru,Kannur,,,,,,,,,
Bengaluru,Kochi,,,,,,,,,
Bengaluru,Kochi,,,,,,,,,
Bengaluru,Kochi,,,,,,,,,
Bengaluru,Kochi,,,,,,,,,
Bengaluru,Kochi,,,,,,,,,
Bengaluru,Kochi,,,,,,,,,
Bengaluru,Kolkata,,,,,,,,,
Bengaluru,Kolkata,,,,,,,,,
Bengaluru,Kolkata,,,,,,,,,
Bengaluru,Kolkata,,,,,,,,,
Bengaluru,Kolkata,,,,,,,,,
Bengaluru,Kolkata,,,,,,,,,
Bengaluru,Kolkata,,,,,,,,,
Bengaluru,Kuwait,,,,,,,,,
Bengaluru,Kuwait,,,,,,,,,
Bengaluru,Leh,,,,,,,,,
Bengaluru,Leh,,,,,,,,,
Bengaluru,Leh,,,,,,,,,
Bengaluru,Leh,,,,,,,,,
Bengaluru,Leh,,,,,,,,,
Bengaluru,Leh,,,,,,,,,
Bengaluru,Lucknow,,,,,,,,,
Bengaluru,Lucknow,,,,,,,,,
Bengaluru,Lucknow,,,,,,,,,
Bengaluru,Lucknow,,,,,,,,,
Bengaluru,Lucknow,,,,,,,,,
Bengaluru,Lucknow,,,,,,,,,
Bengaluru,Lucknow,,,,,,,,,
Bengaluru,Lucknow,,,,,,,,,
Bengaluru,Lucknow,,,,,,,,,
Bengaluru,Male,,,,,,,,,
Bengaluru,Male,,,,,,,,,
Bengaluru,Mumbai,,,,,,,,,
Bengaluru,Mumbai,,,,,,,,,
Bengaluru,Mumbai,,,,,,,,,
Bengaluru,Mumbai,,,,,,,,,
Bengaluru,Mumbai,,,,,,,,,
Bengaluru,Mumbai,,,,,,,,,
Bengaluru,Mumbai,,,,,,,,,
Bengaluru,Mumbai,,,,,,,,,
